# HumanityOS Components Database
# Intermediate parts used to assemble machines, vehicles, and complex items
#
# Column definitions:
#   id                  - Unique component identifier (snake_case)
#   name                - Display name
#   category            - Component category: mechanical, electrical, engine, structural, electronics, fluid
#   materials_required  - Pipe-separated material_id:quantity pairs (quantity in units)
#   weight_kg           - Assembled weight in kilograms
#   power_watts         - Power draw (positive) or output (negative), 0 if passive
#   description         - Short description
#
# === MECHANICAL ===
id,name,category,materials_required,weight_kg,power_watts,description
gear_small,Small Gear,mechanical,steel:0.2,0.15,0,Toothed wheel for low-torque transfer
gear_medium,Medium Gear,mechanical,steel:0.8,0.6,0,Toothed wheel for moderate-torque transfer
gear_large,Large Gear,mechanical,steel:2.0,1.5,0,Toothed wheel for high-torque transfer
bearing,Bearing,mechanical,steel:0.3|chromium:0.05,0.25,0,Ball bearing for smooth rotation
spring,Spring,mechanical,steel:0.15,0.12,0,Coiled elastic energy storage element
chain,Chain,mechanical,steel:0.8,0.7,0,Linked metal loop for power transmission
belt_drive,Drive Belt,mechanical,rubber:0.3|nylon:0.1,0.3,0,Flexible loop for shaft coupling
pulley,Pulley,mechanical,steel:0.5|bearing:1,0.45,0,Grooved wheel for rope or belt
lever,Lever,mechanical,steel:1.0,0.9,0,Rigid bar for mechanical advantage
hinge,Hinge,mechanical,steel:0.2,0.18,0,Pivot joint for doors and panels
latch,Latch,mechanical,steel:0.1,0.08,0,Mechanical fastening catch
lock_mechanism,Lock Mechanism,mechanical,steel:0.15|brass:0.05,0.15,0,Keyed or combination security device
axle,Axle,mechanical,steel:3.0,2.8,0,Shaft for wheel rotation
wheel_component,Wheel,mechanical,steel:1.5|rubber:0.8,2.0,0,Rolling support element
crank,Crank,mechanical,steel:0.8,0.7,0,Handle for rotary input
cam,Cam,mechanical,steel:0.4,0.35,0,Eccentric profile for reciprocating motion
piston,Piston,mechanical,aluminum:0.6|steel:0.2,0.7,0,Reciprocating cylinder plug
cylinder,Cylinder,mechanical,steel:2.0,1.8,0,Hollow tube for piston travel
valve_mechanical,Mechanical Valve,mechanical,steel:0.5|rubber:0.1,0.5,0,Flow control gate
gasket,Gasket,mechanical,rubber:0.1,0.08,0,Compressible sealing ring
seal,Seal,mechanical,rubber:0.05|silicone:0.02,0.06,0,Fluid-tight rotary seal
bushing,Bushing,mechanical,bronze:0.15,0.12,0,Sleeve bearing insert
coupling,Coupling,mechanical,steel:0.6,0.5,0,Shaft-to-shaft connector
clutch,Clutch,mechanical,steel:1.5|kevlar:0.3,1.6,0,Engageable torque transfer device
brake_pad,Brake Pad,mechanical,steel:0.3|kevlar:0.2,0.4,0,Friction element for deceleration
#
# === ELECTRICAL ===
wire_copper,Copper Wire,electrical,copper:0.3|pvc:0.1,0.35,0,Bare copper conductor
wire_insulated,Insulated Wire,electrical,copper:0.3|pvc:0.2,0.4,0,PVC-jacketed copper wire
resistor,Resistor,electrical,carbon_fiber_mat:0.001|copper:0.001,0.002,0,Fixed-value current limiter
capacitor,Capacitor,electrical,aluminum:0.01|polycarbonate:0.005,0.012,0,Charge storage element
inductor,Inductor,electrical,copper:0.05|iron:0.03,0.07,0,Magnetic energy storage coil
transformer,Transformer,electrical,copper:0.8|iron:2.0|silicone:0.1,2.5,0,Voltage conversion device
relay,Relay,electrical,copper:0.05|iron:0.03|abs_plastic:0.02,0.08,0.5,Electromagnetic switching device
switch_electrical,Electrical Switch,electrical,copper:0.02|abs_plastic:0.03,0.04,0,Manual circuit breaker
fuse,Fuse,electrical,copper:0.005|glass:0.002,0.005,0,Overcurrent protection element
circuit_board_component,Circuit Board,electrical,fiberglass:0.05|copper:0.02|epoxy:0.01,0.06,0,Printed wiring substrate
led,LED,electrical,aluminum:0.001|polycarbonate:0.002,0.003,0.05,Light-emitting diode
light_bulb,Light Bulb,electrical,glass:0.02|tungsten:0.001|copper:0.005,0.025,60,Incandescent illumination device
battery_small,Small Battery,electrical,zinc:0.02|manganese:0.02|steel:0.01,0.045,-5,Single-cell portable power source
