# HumanityOS Creatures Database
# All living entities in the game world
#
# Column definitions:
#   id                - Unique creature identifier (snake_case)
#   name              - Display name
#   type              - human, animal, alien, monster, demon, robot, spirit
#   species           - Species classification
#   health_base       - Base health points
#   stamina_base      - Base stamina points
#   mana_base         - Base mana (0 for non-magical creatures)
#   size_category     - tiny, small, medium, large, huge, colossal
#   weight_kg         - Average mass
#   movement_speed    - Base movement speed in m/s
#   movement_types    - Pipe-separated: walk|run|swim|fly|burrow|climb
#   diet              - herbivore, carnivore, omnivore, photosynthetic, energy, none
#   hostility         - passive, neutral, territorial, aggressive, boss
#   habitat_biomes    - Pipe-separated biome ids where creature spawns
#   loot_table        - Pipe-separated item_id:chance:min:max loot drops
#   ai_behavior       - wander, patrol, guard, hunt, flee, follow, swarm, ambush
#   domesticable      - true/false
#   spawn_weight      - Relative rarity (higher = more common, 1-100)
#   description       - Short description
#
id,name,type,species,health_base,stamina_base,mana_base,size_category,weight_kg,movement_speed,movement_types,diet,hostility,habitat_biomes,loot_table,ai_behavior,domesticable,spawn_weight,description
# === DOMESTIC ANIMALS ===
chicken,Chicken,animal,gallus_domesticus,15,20,0,small,3.5,1.5,walk|run,omnivore,passive,grassland|farmland,raw_poultry:100:1:2|feather:80:1:3|egg:50:1:1,wander,true,80,Common farm bird raised for eggs and meat
cow,Cow,animal,bos_taurus,80,50,0,large,700,2.0,walk|run,herbivore,passive,grassland|farmland,raw_beef:100:2:4|leather:80:1:2|bone:60:1:2|milk:50:1:1,wander,true,60,Domesticated cattle providing milk and beef
pig,Pig,animal,sus_domesticus,60,40,0,medium,110,2.5,walk|run|swim,omnivore,passive,grassland|farmland|forest,raw_pork:100:2:3|leather:60:1:1|bone:50:1:2|fat:70:1:2,wander,true,65,Intelligent farm animal raised for pork
sheep,Sheep,animal,ovis_aries,50,35,0,medium,80,2.0,walk|run|climb,herbivore,passive,grassland|farmland|mountain,raw_mutton:100:1:3|wool:90:1:3|bone:40:1:1,wander,true,70,Woolly livestock prized for fiber and meat
goat,Goat,animal,capra_hircus,55,45,0,medium,60,2.5,walk|run|climb,herbivore,passive,grassland|farmland|mountain,raw_mutton:100:1:2|leather:70:1:1|bone:40:1:1|milk:50:1:1,wander,true,65,Hardy ruminant that thrives in rocky terrain
horse,Horse,animal,equus_caballus,120,100,0,large,500,14.0,walk|run|swim,herbivore,passive,grassland|farmland|savanna,raw_meat:100:3:5|leather:80:1:2|bone:60:2:3,wander,true,40,Swift mount and draft animal
dog,Dog,animal,canis_familiaris,45,60,0,medium,30,8.0,walk|run|swim,omnivore,passive,grassland|farmland|forest|tundra,raw_meat:100:1:1|bone:60:1:1|fur:50:1:1,follow,true,50,Loyal companion and working animal
cat,Cat,animal,felis_catus,25,40,0,small,4.5,6.0,walk|run|climb,carnivore,passive,grassland|farmland|forest,raw_meat:100:1:1|fur:60:1:1,wander,true,55,Independent hunter of vermin
rabbit,Rabbit,animal,oryctolagus_cuniculus,20,30,0,small,2.5,3.5,walk|run|burrow,herbivore,passive,grassland|farmland|forest,raw_meat:100:1:1|fur:70:1:1|bone:30:1:1,flee,true,75,Quick burrowing herbivore
