# HumanityOS Enchantments Database
# Magical and technological enhancements for items and equipment
#
# Schema: schemas/enchantment.toml
# Hot-reloadable: Yes (changes apply without restart)
# Mods: Add or override rows to customize enchantments
#
# id,name,type,applicable_to,rarity,level_required,skill_required,skill_level,mana_cost,reagents,stat_modifiers,bonus_damage,bonus_damage_type,bonus_armor,special_effect,duration_s,max_stacks,conflicts_with,visual_effect,description
#
# === UNIVERSAL ENCHANTS (apply to any item type) ===
indestructible,Indestructible,legendary,any,mythic,30,enchanting,15,200.0,eternal_crystal:1|arcane_dust:20|diamond:5,durability:999999:set,0.0,,0.0,,0.0,1,fragile|decay,#FFFFFF;holy_motes,Makes the item virtually impossible to break or degrade
featherweight,Featherweight,utility,any,uncommon,3,enchanting,2,15.0,arcane_dust:2|feather_0:5,weight_kg:0.5:multiply,0.0,,0.0,,0.0,1,heavy,#88CCFF;none,Reduces item weight by half through gravitational enchantment
auto_repair,Auto-Repair,utility,any,rare,10,enchanting,6,40.0,arcane_dust:5|iron_ingot:3|clockwork_gear:1,durability:1:add,0.0,,0.0,,0.0,1,,#44FF44;sparks,Slowly restores durability over time while not in use
luminous,Luminous,utility,any,common,1,enchanting,1,5.0,arcane_dust:1|glowstone_dust:2,,0.0,,0.0,,0.0,1,,#FFFF88;holy_motes,Emits a soft persistent glow illuminating nearby area
silent,Silent,utility,any,uncommon,5,enchanting,3,20.0,arcane_dust:3|shadow_silk:2,,0.0,,0.0,,0.0,1,noisy,#333355;shadow_wisps,Completely muffles all sound produced by the item
thermal_insulation,Thermal Insulation,protective,any,common,2,enchanting,1,10.0,arcane_dust:1|wool_0:4,,0.0,,0.0,buff_warm,0.0,1,,#FF8844;none,Protects the user from extreme heat and cold
waterproof,Waterproof,protective,any,common,2,enchanting,1,10.0,arcane_dust:1|wax_0:3,,0.0,,0.0,,0.0,1,,#4488FF;none,Seals the item against water damage and submersion
fireproof,Fireproof,protective,any,uncommon,5,enchanting,3,20.0,arcane_dust:3|fire_salt:2,,0.0,,0.0,buff_fire_immune,0.0,1,,#FF4400;none,Renders the item immune to fire and heat damage
shock_absorbing,Shock Absorbing,protective,any,uncommon,4,enchanting,2,15.0,arcane_dust:2|rubber_0:3,,0.0,,0.0,,0.0,1,,#CCCC00;none,Dampens impact forces protecting both item and user
camouflage,Camouflage,utility,any,rare,8,enchanting,5,35.0,arcane_dust:4|chameleon_scale:2,,0.0,,0.0,buff_stealth,0.0,1,,#228833;shadow_wisps,Blends the item into its surroundings reducing visibility
#
# === WEAPON ENCHANTS ===
sharpness,Sharpness,offensive,weapon,common,1,enchanting,1,10.0,arcane_dust:1,damage:5:add,5.0,,0.0,,0.0,3,,#CCCCCC;sparks,Hones the blade to a razor edge increasing base damage
fire_imbue,Fire Imbue,elemental,weapon,uncommon,5,enchanting,3,25.0,arcane_dust:2|sulfur_0:3,,15.0,fire,0.0,debuff_burning,0.0,1,ice_imbue|lightning_imbue|poison_imbue,#FF4400;flames,Wraps the weapon in flames adding fire damage and a chance to ignite
ice_imbue,Ice Imbue,elemental,weapon,uncommon,5,enchanting,3,25.0,arcane_dust:2|frost_crystal:3,,15.0,ice,0.0,debuff_chilled,0.0,1,fire_imbue|lightning_imbue|poison_imbue,#44CCFF;frost,Coats the weapon in frost adding ice damage and slowing targets
