# HumanityOS Game Items Database
# All items available in the game world with volumetric physics data
#
# Column definitions:
#   id                - Unique item identifier (snake_case, _0 suffix = default style)
#   name              - Display name shown to player
#   category          - clothing, tool, weapon, furniture, food, material, machine, vehicle
#   subcategory       - More specific grouping within category
#   base_material     - Primary material_id this item is made from
#   weight_kg         - Physical mass in kilograms
#   stack_size        - Max stack count (1 = not stackable)
#   durability        - Max durability points (0 = indestructible consumable)
#   description       - Short description of the item
#
# === CLOTHING ===
id,name,category,subcategory,base_material,weight_kg,stack_size,durability,description,content_class
t_shirt_0,T-Shirt,clothing,top,cotton,0.2,5,60,Basic short-sleeve cotton shirt,solid
long_sleeve_0,Long Sleeve Shirt,clothing,top,cotton,0.3,5,70,Full-length sleeve cotton shirt,solid
hoodie_0,Hoodie,clothing,top,cotton,0.6,3,80,Pullover hooded sweatshirt,solid
jacket_light_0,Light Jacket,clothing,outerwear,nylon,0.8,1,100,Water-resistant windbreaker,solid
jacket_heavy_0,Heavy Jacket,clothing,outerwear,canvas,1.5,1,150,Insulated winter jacket,solid
coat_winter_0,Winter Coat,clothing,outerwear,wool,2.2,1,180,Thick cold-weather overcoat,solid
vest_0,Vest,clothing,top,cotton,0.3,3,60,Sleeveless torso garment,solid
pants_0,Pants,clothing,bottom,cotton,0.5,5,80,Standard full-length trousers,solid
shorts_0,Shorts,clothing,bottom,cotton,0.3,5,60,Knee-length leg garment,solid
skirt_0,Skirt,clothing,bottom,cotton,0.3,5,60,Hip-to-knee draped garment,solid
dress_0,Dress,clothing,full_body,cotton,0.4,3,70,One-piece body garment,solid
overalls_0,Overalls,clothing,full_body,denim,0.9,1,120,Bib-and-brace work garment,solid
jumpsuit_0,Jumpsuit,clothing,full_body,nylon,0.7,1,100,One-piece utility suit,solid
underwear_0,Underwear,clothing,undergarment,cotton,0.1,10,40,Basic undergarment,solid
socks_0,Socks,clothing,feet,cotton,0.08,20,30,Ankle-height foot covering,solid
boots_work_0,Work Boots,clothing,footwear,leather,1.5,1,200,Steel-toe protective footwear,solid
boots_hiking_0,Hiking Boots,clothing,footwear,leather,1.2,1,180,Ankle-support trail boots,solid
shoes_casual_0,Casual Shoes,clothing,footwear,synthetic_leather,0.6,1,120,Everyday walking shoes,solid
sandals_0,Sandals,clothing,footwear,rubber,0.3,1,80,Open-toe warm-weather footwear,solid
gloves_work_0,Work Gloves,clothing,hands,leather,0.3,3,100,Reinforced hand protection,solid
gloves_winter_0,Winter Gloves,clothing,hands,wool,0.2,3,80,Insulated cold-weather gloves,solid
hat_baseball_0,Baseball Cap,clothing,headwear,cotton,0.15,5,50,Brimmed casual cap,solid
hat_beanie_0,Beanie,clothing,headwear,wool,0.1,5,50,Knit cold-weather hat,solid
helmet_hard_0,Hard Hat,clothing,headwear,hdpe,0.4,1,200,Impact-resistant safety helmet,solid
helmet_combat_0,Combat Helmet,clothing,headwear,kevlar,1.4,1,300,Ballistic protection headgear,solid
goggles_safety_0,Safety Goggles,clothing,eyewear,polycarbonate,0.15,1,150,Splash and impact eye guards,solid
sunglasses_0,Sunglasses,clothing,eyewear,polycarbonate,0.05,1,80,UV-blocking eye shades,solid
backpack_small_0,Small Backpack,clothing,carry,nylon,0.8,1,120,Day-trip rucksack 20L,solid
backpack_large_0,Large Backpack,clothing,carry,nylon,1.5,1,180,Expedition rucksack 60L,solid
belt_0,Belt,clothing,accessory,leather,0.3,1,100,Waist strap with buckle,solid
scarf_0,Scarf,clothing,accessory,wool,0.15,5,50,Neck and face wrap,solid
apron_0,Apron,clothing,work,canvas,0.4,1,100,Front-body work protector,solid
raincoat_0,Raincoat,clothing,outerwear,tarp_material,0.6,1,120,Waterproof full-length coat,solid
wetsuit_0,Wetsuit,clothing,full_body,neoprene,2.0,1,200,Thermal diving suit,solid
hazmat_suit_0,Hazmat Suit,clothing,full_body,hdpe,3.0,1,250,Chemical and biological barrier suit,solid
spacesuit_0,Spacesuit,clothing,full_body,kevlar,12.0,1,500,Pressurized extravehicular suit,solid
lab_coat_0,Lab Coat,clothing,work,polyester,0.4,1,80,Laboratory protective garment,solid
coveralls_0,Coveralls,clothing,work,cotton,0.8,1,100,Full-body mechanic suit,solid
poncho_0,Poncho,clothing,outerwear,tarp_material,0.4,3,80,Sleeveless rain cover,solid
thermal_underwear_0,Thermal Underwear,clothing,undergarment,fleece,0.3,5,60,Base-layer insulating garment,solid
#
# === TOOLS ===
hammer_0,Hammer,tool,striking,steel,0.8,1,200,Claw hammer for nails and light demolition,solid
screwdriver_flat_0,Flat Screwdriver,tool,fastening,steel,0.2,1,150,Slotted-head screwdriver,solid
