# HumanityOS Plants Database
# Growth data based on real agricultural references (USDA, FAO, university extension services)
#
# Column definitions:
#   id                    - Unique plant identifier (snake_case)
#   name                  - Common display name
#   description           - Short description
#   type                  - Category. The file uses ten, not the six this line once listed:
#                           vegetable 45, fruit 39, herb 21, grain 19, legume 18, alien 12,
#                           tree 11, medicinal 10, decorative 7, fiber 7.
#                           NOTE: oyster_mushroom, shiitake and button_mushroom are typed
#                           vegetable and are fungi. Several columns mean something different
#                           for them, since a mushroom has no roots drawing a soil solution.
#   growth_days           - Total days from planting to harvest (real-world basis, game may scale). For a
#                           crop picked or cut over a season this is days to the FIRST pick, while the
#                           yield columns are the whole season: see yield_min below.
#   water_liters_per_day  - Water requirement in liters PER PLANT per day. For every crop with an
#                           area_per_plant_m2 and a row in FAO-56 Table 12 (2026-09-26) it is the FAO
#                           crop evapotranspiration over that area: season-average Kc x a reference ET0 of
#                           3 mm/day x area_per_plant_m2 (method in data/garden/yields.ron, WATER). A grow
#                           unit draws this times the plants in it.
#   nutrient_n            - Relative nitrogen demand (higher = hungrier). NOT kilograms of anything: until
#                           2026-09-26 this line called it a kg/hectare equivalent scaled to one plant
#                           and tomato's 0.15 is no such figure. The farming sim reads it against one anchor
#                           crop's published removal per kg of harvest: see data/garden/nutrients.ron
#   nutrient_p            - Relative phosphorus demand; read the same way (the sim counts grams of P2O5)
#   nutrient_k            - Relative potassium demand; read the same way (the sim counts grams of K2O)
#   ph_min                - Minimum preferred soil pH
#   ph_max                - Maximum preferred soil pH
#   temp_min_c            - Minimum growing temperature in Celsius
#   temp_max_c            - Maximum growing temperature in Celsius
#   humidity_min          - Minimum relative humidity (0.0-1.0)
#   humidity_max          - Maximum relative humidity (0.0-1.0)
#   yield_min             - Minimum harvest per PLANT, counted in items of harvest_item (so its kg is this
#                           times the item's items.csv weight_kg). Fractional, and usually well under 1
#                           for grain and seed: a wheat plant gives 0.0019 of a 0.5 kg item. For every
#                           crop with an area_per_plant_m2 (2026-09-26) it is a cited good-practice
#                           harvest, sourced crop by crop in data/garden/yields.ron; for a crop picked or
#                           cut over a season it is the whole season's pick. A grow unit harvests this
#                           times the plants in it (see area_per_plant_m2). Rows without an area still
#                           carry the older unsourced figures.
#   yield_max             - Maximum harvest per plant, same basis. The harvest rolls between the two.
#   growth_stages         - Colon-separated growth stage names
#   seasons               - Preferred growing seasons (colon-separated)
#   seed_value            - Base trade value of seeds (credits)
#   harvest_value         - Base trade value of harvested crop (credits)
#   skill_required        - Minimum farming skill level needed
#   seed_source           - Where seeds can be obtained (colon-separated)
#   companion_plants      - Plants that grow well nearby (colon-separated ids)
#   adverse_plants        - Plants that should not be grown nearby (colon-separated ids)
#   harvest_item          - Item id this crop yields, resolved against data/items.csv
#   needs_light           - true if the species needs light to grow (every green plant). false for
#                           the fungi: they do not photosynthesise and grow on their substrate in the
#                           dark (Penn State Extension). Says nothing about HOW MUCH light: see
#                           schemas/plant.toml
#   n_fixed_pct           - Share of the crop's nitrogen it fixes from the air, percent (the %Ndfa, "N derived
#                           from the atmosphere"). Blank = none. The farming sim draws only the rest from the
#                           crop's unit and credits the fixed N in its roots to the next crop there (see
#                           data/garden/nutrients.ron legume_harvest_n_share). Filled 2026-09-26 only where a
#                           figure was found: soybean 55 from Salvagiotti et al. 2008 (Field Crops Research
#                           108: 1-13) abstract: "On an average, 50-60% of soybean N demand was met by biological
#                           N2 fixation". fava_bean 67, pea 54, lentil 54, chickpea 52, and 26 for the common
#                           beans (bean, kidney_bean, pinto_bean, navy_bean: all Phaseolus vulgaris) from
#                           Hossain, Wang, Hamel, Knight, Morrison and Gan 2017, "Biological nitrogen fixation
#                           by pulse crops on semiarid Canadian prairies", Can. J. Plant Sci. 97: 119-131:
#                           three-year means at Swift Current, Saskatchewan of faba bean 67.48, field pea 53.95,
#                           lentil 53.53, chickpea 51.56 and dry bean 26.31, read from the table in Canadian
#                           Agronomist's summary of the paper (27 November 2018; the journal page itself was not
#                           reachable). Its caveats: "The amount of N fixed by the pulse crops was lower than in
#                           previous studies, possibly due to the lower yield under the semi-arid conditions at
#                           Swift Current", and for dry bean "a low yield in 2008 dragged down the three-year
#                           average" (0.72% in 2008, 45.76% in 2010). Field
#                           pea is used for the garden pea (same species, grown for dry seed). Peanut, cowpea,
#                           lupin, mung bean, pigeon pea and the other legumes fix nitrogen too but have no
#                           figure here yet, so the sim treats them as not fixing until one is sourced.
#   removal_n_g_per_kg    - Grams of N that one kg of this crop's harvest carries out of its unit, on the basis
#                           the game's harvest item represents: fresh produce as picked, grain and dry seed at the
#                           storage moisture its source table reports. Blank = not sourced yet, and the sim then
#                           reads nutrient_n against the anchor crop instead (data/garden/nutrients.ron).
#   removal_p2o5_g_per_kg - Grams of P2O5 per kg of harvest, same basis. Blank falls back the same way.
#   removal_k2o_g_per_kg  - Grams of K2O per kg of harvest, same basis. Blank falls back the same way. Each of
#                           the three falls back on its own. Filled 2026-09-26 for 64 crops; the source
#                           of every number, down to the table cell, is in data/garden/nutrients.ron under
#                           REMOVAL COLUMNS. In short: grain, dry pulses and oilseeds take N from USDA NRCS
#                           Agricultural Waste Management Field Handbook Table 6-6 and P2O5 and K2O from
#                           UW-Madison A2809 Table 4.2; fresh produce takes N from the nitrogen USDA measured in
#                           the food (FoodData Central protein over its nitrogen factor) and P2O5 and K2O from
#                           A2809 where it lists the crop, else from FoodData Central. flax (a fiber bundle) and
#                           the mushrooms (fed by their substrate, not the unit) are blank on purpose.
#   area_per_plant_m2     - Floor area one plant takes, m2: the in-row x between-row spacing a university
#                           extension or planting guide gives (for drilled cereals and pulses, 1 / the
#                           recommended established plants per m2). A bed, tray or field plot holds
#                           floor(plot area / this) plants, at least 1; a tower cup and a hand-planted
#                           crop hold one. Blank = one plant per unit whatever its size (the behaviour
#                           before 2026-09-26), which is what an unsourced row gets. Filled 2026-09-26 for
#                           52 crops, every one cited with its yield in data/garden/yields.ron. Blank on
#                           purpose: mint (planted as runners, no per-plant spacing), rosemary, aloe_vera
#                           and st_johns_wort (no primary yield figure found yet), the mushrooms (a
#                           substrate block, not floor area, sets their yield).
#
# Sources: USDA Plant Hardiness, FAO crop water requirements, Purdue/Cornell extension data
#
# growth_days CONVENTION: unless noted below a row counts from the propagule it is actually
# started from - seed for most crops clove for garlic slip for sweet potato crown for
# asparagus and rhubarb sucker for banana and plantain cutting for the berry shrubs and
# vines - through to the FIRST harvest. Perennials therefore carry the establishment years
# (asparagus 730 cranberry 1095 apple 1460) not the length of one fruiting season.
#
# EXCEPTION - these eight rows carry days FROM TRANSPLANT because that is the basis every
# extension service publishes for them: tomato pepper eggplant broccoli cauliflower cabbage
# celery leek. Direct-sowing those from seed adds roughly 30-45 days to reach the same stage.
#
id,name,description,type,growth_days,water_liters_per_day,nutrient_n,nutrient_p,nutrient_k,ph_min,ph_max,temp_min_c,temp_max_c,humidity_min,humidity_max,yield_min,yield_max,growth_stages,seasons,seed_value,harvest_value,skill_required,seed_source,companion_plants,adverse_plants,harvest_item,needs_light,n_fixed_pct,removal_n_g_per_kg,removal_p2o5_g_per_kg,removal_k2o_g_per_kg,area_per_plant_m2
tomato,Tomato,Fresh red tomatoes - heavy feeder requiring consistent moisture,fruit,70,1.15,0.15,0.05,0.20,6.0,6.8,18,30,0.50,0.80,18.14,45.36,seed:sprout:vegetative:flower:fruit:ripe,spring:summer,5,15,1,store:trade,basil:carrot:parsley,fennel,vegetable_tomato_0,true,,1.5,0.9,4,0.418
carrot,Carrot,Orange root vegetable - cool-season crop with deep loose soil needs,vegetable,75,0.044,0.05,0.03,0.10,6.0,6.8,7,24,0.40,0.70,0.5014,0.5014,seed:sprout:vegetative:root_fill:mature,spring:fall,3,8,1,store,tomato:lettuce:onion,dill,vegetable_carrot_0,true,,1.49,0.9,4.8,0.0155
potato,Potato,Starchy tuber - planted from seed potatoes in hilled rows,vegetable,90,0.624,0.12,0.06,0.18,5.0,6.5,10,24,0.50,0.75,2.929,3.06,seed:sprout:vegetative:flower:tuber_fill:mature,spring:summer,4,12,1,store:trade,bean:corn,tomato:squash,vegetable_potato_0,true,,3.28,1.2,5,0.234
wheat,Wheat,Essential grain - staple cereal crop for bread and flour,grain,120,0.00768,0.10,0.04,0.06,6.0,7.5,12,25,0.30,0.60,0.001856,0.002118,seed:sprout:tiller:stem_extension:heading:grain_fill:ripe,spring:fall,2,20,2,store:trade,,,grain_wheat_0,true,,20.8,8.33,5.83,0.003
lettuce,Lettuce,Fresh leafy greens - fast-growing cool-season salad crop,vegetable,45,0.179,0.08,0.03,0.08,6.0,7.0,7,22,0.50,0.80,1.085,1.085,seed:sprout:rosette:head_form:mature,spring:fall,2,6,1,store,carrot:radish:strawberry,,vegetable_lettuce_0,true,,2.18,1.15,4.55,0.0697
corn,Corn,Sweet corn - warm-season grass requiring heavy nitrogen,grain,90,1.0,0.20,0.06,0.15,5.8,7.0,18,32,0.40,0.70,1,2,seed:sprout:vegetative:tassel:silk:ear_fill:mature,summer,6,25,2,store:trade,bean:squash:cucumber,tomato,vegetable_corn_0,true,,,,,
strawberry,Strawberry,Sweet red berries - perennial producing runners for propagation,fruit,90,0.233,0.08,0.04,0.12,5.5,6.5,15,26,0.50,0.80,1.512,1.512,seed:sprout:runner:flower:green_fruit:ripe,spring:summer,8,20,2,specialty_vendor,lettuce:spinach:bean,,fruit_strawberry_0,true,,1.07,0.55,1.84,0.116
bean,Bean,Protein-rich legume - nitrogen-fixing companion plant,legume,60,0.115,0.02,0.04,0.08,6.0,7.0,18,28,0.40,0.70,0.02858,0.03077,seed:sprout:vegetative:flower:pod_fill:mature,spring:summer,4,14,1,store:trade,corn:squash:carrot,onion:garlic,legume_bean_0,true,26,31.3,12,16,0.045
cucumber,Cucumber,Fresh green vegetable - vining crop needing consistent water,vegetable,55,0.71,0.10,0.04,0.12,6.0,7.0,18,32,0.50,0.80,15.12,22.68,seed:sprout:vine:flower:fruit:mature,summer,3,10,1,store,corn:bean:sunflower,potato,vegetable_cucumber_0,true,,1.04,0.6,1.8,0.279
rice,Rice,Essential grain staple - paddy crop requiring flooded conditions,grain,150,0.0999,0.12,0.04,0.08,5.5,6.5,20,35,0.70,0.95,0.05138,0.0521,seed:sprout:tiller:stem_extension:heading:grain_fill:ripe,summer,3,18,3,specialty_vendor,,,grain_rice_0,true,,13.9,5.5,2.76,0.03
onion,Onion,Pungent bulb vegetable - long-day plant with shallow roots,vegetable,100,0.132,0.08,0.04,0.10,6.0,7.0,10,28,0.40,0.70,1.215,1.215,seed:sprout:leaf_growth:bulb_swell:mature,spring:summer,3,10,1,store:trade,carrot:lettuce:tomato,bean:pea,vegetable_onion_0,true,,1.76,1.2,2.6,0.0465
garlic,Garlic,Aromatic bulb - planted from cloves in fall for spring harvest,vegetable,240,0.119,0.06,0.03,0.08,6.0,7.5,5,24,0.30,0.60,0.08677,0.08677,clove:sprout:leaf_growth:scape:bulb_swell:mature,fall:winter:spring,4,15,2,store:trade,tomato:pepper:strawberry,bean:pea,vegetable_garlic_0,true,,10.2,3.5,4.81,0.0465
pepper,Bell Pepper,Sweet bell pepper - warm-season nightshade with colorful fruit,fruit,75,0.487,0.12,0.05,0.15,6.0,6.8,18,32,0.40,0.70,4.537,7.56,seed:sprout:vegetative:flower:fruit:color_change:ripe,summer,5,12,1,store:trade,tomato:basil:carrot,fennel,fruit_pepper_0,true,,1.38,0.55,2.8,0.186
pumpkin,Pumpkin,Large vining cucurbit - heavy feeder with sprawling growth,fruit,100,2.0,0.15,0.06,0.18,6.0,7.0,18,30,0.50,0.75,1,3,seed:sprout:vine:flower:fruit_set:fill:ripe,summer:fall,5,20,2,store:trade,corn:bean,potato,fruit_pumpkin_0,true,,1.6,1.45,3.15,
spinach,Spinach,Nutrient-dense leafy green - cool-season crop that bolts in heat and shrugs off hard frost,vegetable,40,0.0799,0.10,0.04,0.08,6.5,7.5,-7,24,0.50,0.80,0.1157,0.1157,seed:sprout:rosette:mature,spring:fall,2,8,1,store,strawberry:pea:bean,,vegetable_spinach_0,true,,4.58,2,5,0.031
basil,Basil,Aromatic culinary herb - warm-season annual companion to tomatoes,herb,30,0.0859,0.06,0.02,0.04,6.0,7.0,18,30,0.40,0.70,7.258,10.34,seed:sprout:vegetative:flower:mature,spring:summer,3,10,1,store:trade,tomato:pepper,sage,herb_basil_0,true,,5.04,1.28,3.54,0.0316
sunflower,Sunflower,Tall composite flower grown for seeds and oil - single-stem oilseed types carry one head and branching garden types a few more,fruit,100,0.445,0.08,0.04,0.10,6.0,7.5,18,30,0.30,0.60,0.07788,0.08524,seed:sprout:vegetative:bud:bloom:seed_fill:mature,summer,3,12,1,store:trade,cucumber:corn,potato,fruit_sunflower_0,true,,35.7,12,13.3,0.193
radish,Radish,Fast-growing root vegetable - ready in weeks as trap crop,vegetable,25,0.017,0.04,0.02,0.04,6.0,7.0,8,24,0.40,0.70,0.007873,0.0273,seed:sprout:root_swell:mature,spring:fall,1,4,1,store,lettuce:carrot:pea,,vegetable_radish_0,true,,1.09,0.458,2.8,0.00677
pea,Pea,Cool-season legume - nitrogen fixer producing edible pods,legume,60,0.0293,0.02,0.03,0.06,6.0,7.5,8,22,0.40,0.70,0.01235,0.01589,seed:sprout:tendril:flower:pod_fill:mature,spring:fall,3,10,1,store:trade,carrot:radish:corn,onion:garlic,legume_pea_0,true,54,8.67,2.47,2.93,0.0103
