# HumanityOS Spells & Abilities Database
# All castable spells, tech abilities, and powers
#
# Column definitions:
#   id                - Unique spell identifier (snake_case)
#   name              - Display name
#   type              - spell, ability, tech, psionic
#   school            - fire, water, earth, air, lightning, ice, nature, shadow, light, arcane, healing, summoning, enchantment, gravity, time
#   mana_cost         - Mana required to cast (0 for stamina-only abilities)
#   stamina_cost      - Stamina required (0 if mana-only)
#   cooldown_s        - Seconds before spell can be recast
#   cast_time_s       - Seconds to channel/cast (0 = instant)
#   range_m           - Range in meters (0 = self, -1 = unlimited)
#   aoe_m             - Area of effect radius (0 = single target)
#   aoe_shape         - point, cone, sphere, line, wall, ring
#   damage_base       - Base damage (0 for non-damage spells)
#   damage_type       - physical, fire, ice, lightning, poison, psychic, holy, shadow, true, none
#   healing_base      - Base healing (0 for non-healing spells)
#   duration_s        - Effect duration (0 = instant)
#   level_required    - Minimum player level
#   skill_required    - Skill name needed (empty = no skill)
#   skill_level       - Minimum skill level (0 = none)
#   tags              - Pipe-separated: offensive|defensive|utility|movement|summon|aura|passive|channeled
#   description       - Short description
#
id,name,type,school,mana_cost,stamina_cost,cooldown_s,cast_time_s,range_m,aoe_m,aoe_shape,damage_base,damage_type,healing_base,duration_s,level_required,skill_required,skill_level,tags,description
# === FIRE MAGIC ===
fireball,Fireball,spell,fire,25,0,3,1.5,30,3,sphere,45,fire,0,0,1,pyromancy,1,offensive,Hurl an explosive ball of fire at your target
flame_breath,Flame Breath,spell,fire,35,10,8,0,12,0,cone,55,fire,0,3,5,pyromancy,2,offensive|channeled,Exhale a scorching cone of flames
fire_wall,Fire Wall,spell,fire,40,0,15,2,25,0,wall,20,fire,0,10,8,pyromancy,3,offensive|defensive,Raise a wall of fire that burns anything passing through
inferno,Inferno,spell,fire,80,0,30,3,0,10,sphere,90,fire,0,6,18,pyromancy,7,offensive|aura,Engulf the surrounding area in an uncontrollable blaze
ember_shot,Ember Shot,spell,fire,10,0,1,0,25,0,point,18,fire,0,0,1,pyromancy,1,offensive,Flick a quick ember projectile at a target
immolate,Immolate,spell,fire,30,0,12,1,20,0,point,15,fire,0,8,6,pyromancy,2,offensive,Set a target ablaze dealing damage over time
fire_shield,Fire Shield,spell,fire,35,0,20,0,0,0,point,10,fire,0,15,10,pyromancy,4,defensive,Surround yourself in flames that burn melee attackers
volcanic_eruption,Volcanic Eruption,spell,fire,100,20,60,4,35,8,sphere,120,fire,0,5,22,pyromancy,9,offensive|channeled,Call forth a devastating eruption from the ground
phoenix_flame,Phoenix Flame,spell,fire,90,0,120,3,0,5,sphere,0,fire,80,0,20,pyromancy,8,offensive|defensive,Burst into flames and rise renewed with restored health
