# HumanityOS Status Effects Database
# Buffs, debuffs, conditions, diseases, and environmental effects
#
# Column definitions:
#   id                - Unique effect identifier
#   name              - Display name
#   type              - buff, debuff, condition, environmental, disease, poison
#   duration_s        - Duration in seconds (0 = permanent until removed)
#   stackable         - true/false
#   max_stacks        - Maximum stack count (1 if not stackable)
#   tick_interval_s   - How often effect applies (0 = continuous)
#   stat_modifier     - stat:value:operation (e.g. speed:0.5:multiply)
#   damage_per_tick   - Damage applied each tick (0 = no damage)
#   damage_type       - Damage type (none if no damage)
#   healing_per_tick  - Healing per tick (0 = no healing)
#   dispel_type       - none, magic, medicine, rest, item
#   tags              - Pipe-separated tags
#   description       - Short description
#
id,name,type,duration_s,stackable,max_stacks,tick_interval_s,stat_modifier,damage_per_tick,damage_type,healing_per_tick,dispel_type,tags,description
strength_boost,Strength Boost,buff,120,true,3,0,strength:1.25:multiply,0,none,0,magic,combat|physical,Increases physical strength by 25% per stack
speed_boost,Speed Boost,buff,90,true,3,0,speed:1.3:multiply,0,none,0,magic,movement|physical,Increases movement speed by 30% per stack
fire_resistance,Fire Resistance,buff,180,false,1,0,fire_resist:0.5:multiply,0,none,0,magic,elemental|defense,Reduces fire damage taken by 50%
shield,Energy Shield,buff,60,false,1,0,armor:50:add,0,none,0,magic,defense|energy,Absorbs up to 50 points of incoming damage
regeneration,Regeneration,buff,300,true,5,3,none:0:none,0,none,5,magic,healing|sustain,Restores 5 HP every 3 seconds per stack
night_vision,Night Vision,buff,600,false,1,0,vision_range:2.0:multiply,0,none,0,item,vision|utility,Doubles visual range in darkness
water_breathing,Water Breathing,buff,900,false,1,0,oxygen_use:0:multiply,0,none,0,magic,aquatic|utility,Allows breathing underwater indefinitely
feather_fall,Feather Fall,buff,120,false,1,0,fall_speed:0.1:multiply,0,none,0,magic,movement|safety,Dramatically slows falling speed preventing fall damage
stone_skin,Stone Skin,buff,180,false,1,0,armor:30:add,0,none,0,magic,defense|physical,Hardens skin adding 30 armor points
berserk,Berserk,buff,30,false,1,0,damage:1.5:multiply,0,none,0,rest,combat|risky,Increases damage dealt by 50% but reduces armor by 25%
focused_mind,Focused Mind,buff,300,true,3,0,accuracy:1.2:multiply,0,none,0,rest,mental|precision,Improves accuracy and crafting quality by 20% per stack
lucky,Lucky,buff,600,false,1,0,crit_chance:1.5:multiply,0,none,0,magic,fortune|rare,Increases critical hit and rare drop chance by 50%
well_fed,Well Fed,buff,1800,false,1,0,stamina_regen:1.5:multiply,0,none,1,rest,food|sustain,Increases stamina regeneration by 50% and slowly heals
rested,Rested,buff,3600,false,1,0,xp_gain:1.25:multiply,0,none,0,rest,rest|experience,Increases experience gained by 25% after sleeping
inspired,Inspired,buff,900,false,1,0,craft_speed:1.5:multiply,0,none,0,rest,crafting|creativity,Increases crafting speed by 50% and improves quality
weakness,Weakness,debuff,120,true,3,0,strength:0.75:multiply,0,none,0,medicine,combat|physical,Reduces physical strength by 25% per stack
slow,Slow,debuff,90,true,3,0,speed:0.6:multiply,0,none,0,magic,movement|hindering,Reduces movement speed by 40% per stack
blind,Blindness,debuff,60,false,1,0,vision_range:0.1:multiply,0,none,0,medicine,vision|severe,Drastically reduces visual range to near nothing
silence,Silence,debuff,45,false,1,0,cast_speed:0:multiply,0,none,0,magic,mental|disabling,Prevents use of abilities and spells
cursed,Cursed,debuff,600,false,1,0,luck:-20:add,0,none,0,magic,dark|persistent,Reduces luck and increases chance of negative events
exhausted,Exhausted,debuff,300,false,1,0,stamina_regen:0.25:multiply,0,none,0,rest,stamina|fatigue,Severely reduces stamina regeneration by 75%
confused,Confused,debuff,30,false,1,0,accuracy:0.5:multiply,0,none,0,medicine,mental|disorienting,Halves accuracy and may cause random movement
frightened,Frightened,debuff,45,false,1,0,damage:0.7:multiply,0,none,0,rest,mental|fear,Reduces damage dealt by 30% and may cause fleeing
