# HumanityOS Structures Database
# All buildable structures, furniture, machines, and decorative objects
#
# Column definitions:
#   id                  - Unique structure identifier (snake_case)
#   name                - Display name
#   category            - wall, floor, ceiling, door, window, stairs, ramp, machine, furniture, decoration, utility, lighting, storage, plumbing, electrical, defense
#   subcategory         - More specific grouping
#   width_m             - Width in meters
#   height_m            - Height in meters
#   depth_m             - Depth in meters
#   materials_required  - Pipe-separated material_id:quantity pairs
#   snap_type           - grid, edge, corner, surface, freeform
#   is_functional       - true/false (does it DO something)
#   power_draw_watts    - Power consumption (0 if unpowered)
#   hp                  - Structure hitpoints
#   comfort_bonus       - Quality of life bonus (0-10)
#   beauty_bonus        - Aesthetic bonus (0-10)
#   placement           - indoor_only, outdoor_only, anywhere
#   description         - Short description
#
id,name,category,subcategory,width_m,height_m,depth_m,materials_required,snap_type,is_functional,power_draw_watts,hp,comfort_bonus,beauty_bonus,placement,description
# === FOUNDATIONS & FLOORS ===
concrete_foundation,Concrete Foundation,floor,foundation,4.0,0.3,4.0,concrete:12|rebar:4,grid,false,0,500,0,0,anywhere,Reinforced concrete slab for building on any terrain
wood_floor,Wood Floor,floor,flooring,4.0,0.05,4.0,wood_plank:8|nail:16,grid,false,0,150,2,3,anywhere,Standard wooden floor panel
tile_floor,Tile Floor,floor,flooring,4.0,0.03,4.0,ceramic_tile:24|mortar:4,grid,false,0,200,3,5,indoor_only,Ceramic tile flooring with clean finish
stone_floor,Stone Floor,floor,flooring,4.0,0.08,4.0,stone_block:16,grid,false,0,400,1,4,anywhere,Durable cut stone floor
metal_grating,Metal Grating,floor,industrial,4.0,0.04,4.0,steel_plate:4|steel_rod:8,grid,false,0,300,0,1,anywhere,Open steel grating for industrial areas and catwalks
glass_floor,Glass Floor,floor,flooring,4.0,0.06,4.0,glass_panel:8|steel_frame:4,grid,false,0,100,2,7,indoor_only,Transparent reinforced glass floor panel
carpet,Carpet,floor,flooring,4.0,0.02,4.0,fabric:6|adhesive:2,grid,false,0,50,5,4,indoor_only,Soft textile floor covering for comfort
bamboo_floor,Bamboo Floor,floor,flooring,4.0,0.04,4.0,bamboo:12|nail:12,grid,false,0,120,3,5,indoor_only,Sustainable bamboo plank flooring
composite_decking,Composite Decking,floor,outdoor,4.0,0.04,4.0,composite_plank:10|screw:20,grid,false,0,250,3,4,outdoor_only,Weather-resistant composite deck surface
landing_pad,Landing Pad,floor,vehicle,8.0,0.4,8.0,concrete:40|steel_plate:16|paint:2,grid,true,50,800,0,2,outdoor_only,Reinforced pad for spacecraft and vehicle landing
# === WALLS ===
wood_wall,Wood Wall,wall,structural,4.0,3.0,0.15,wood_plank:12|nail:24|wood_beam:2,edge,false,0,200,1,3,anywhere,Standard wooden wall section
stone_wall,Stone Wall,wall,structural,4.0,3.0,0.4,stone_block:24|mortar:8,edge,false,0,600,1,4,anywhere,Thick stone masonry wall
concrete_wall,Concrete Wall,wall,structural,4.0,3.0,0.25,concrete:16|rebar:6,edge,false,0,500,0,1,anywhere,Poured reinforced concrete wall
glass_wall,Glass Wall,wall,structural,4.0,3.0,0.08,glass_panel:6|steel_frame:4,edge,false,0,80,2,7,anywhere,Floor-to-ceiling glass curtain wall
metal_wall,Metal Wall,wall,structural,4.0,3.0,0.1,steel_plate:8|rivet:16,edge,false,0,400,0,2,anywhere,Corrugated steel wall panel
brick_wall,Brick Wall,wall,structural,4.0,3.0,0.25,brick:60|mortar:10,edge,false,0,450,2,5,anywhere,Classic fired brick wall
log_wall,Log Wall,wall,structural,4.0,3.0,0.3,log:6|rope:4,edge,false,0,350,3,4,anywhere,Stacked log cabin wall
half_wall,Half Wall,wall,partition,4.0,1.2,0.12,wood_plank:6|nail:12|wood_beam:1,edge,false,0,100,1,2,anywhere,Waist-height partition wall
window_wall,Window Wall,wall,structural,4.0,3.0,0.15,wood_plank:8|glass_panel:3|nail:16,edge,false,0,150,3,5,anywhere,Wall section with built-in window opening
blast_wall,Blast Wall,wall,fortified,4.0,3.0,0.6,steel_plate:16|concrete:20|rebar:10,edge,false,0,1200,0,0,anywhere,Heavy armor wall rated for explosive resistance
# === CEILINGS & ROOFS ===
flat_ceiling,Flat Ceiling,ceiling,structural,4.0,0.15,4.0,wood_plank:10|wood_beam:4|nail:20,grid,false,0,200,1,2,anywhere,Standard flat ceiling panel
pitched_roof,Pitched Roof,ceiling,roof,4.0,2.0,4.0,wood_plank:14|wood_beam:6|nail:24|shingle:30,grid,false,0,250,2,4,anywhere,Angled roof with weather shingles
glass_ceiling,Glass Ceiling,ceiling,structural,4.0,0.08,4.0,glass_panel:8|steel_frame:6,grid,false,0,100,3,7,anywhere,Transparent ceiling for natural light
