# HumanityOS Game Settings
# Runtime-tunable gameplay parameters. Changes detected by file watcher trigger hot-reload.
#
# Column definitions:
#   setting     - Unique setting key (snake_case)
#   value       - Current value (parsed by data_type)
#   description - Human-readable explanation
#   category    - Grouping: construction, system, farming, combat, economy, physics
#   min_value   - Minimum allowed value (for validation)
#   max_value   - Maximum allowed value (for validation)
#   data_type   - Value type: float, int, bool, string
#
setting,value,description,category,min_value,max_value,data_type
hold_to_build_time,0.3,Time in seconds to hold mouse button before building starts,construction,0.1,2.0,float
grid_snap_size,1.0,Size in meters for grid snapping,construction,0.25,5.0,float
show_build_grid,true,Whether to show the construction grid overlay,construction,false,true,bool
max_build_distance,10.0,Maximum distance in meters for placing objects,construction,1.0,50.0,float
enable_hot_reload,true,Enable F5 hot-reload for assets and configs,system,false,true,bool
day_length_minutes,20.0,Length of one in-game day in real minutes,system,5.0,120.0,float
time_scale,1.0,Game time multiplier (1.0 = normal speed),system,0.1,10.0,float
crop_growth_multiplier,1.0,Multiplier for crop growth speed,farming,0.1,10.0,float
water_evaporation_rate,0.1,Base water evaporation rate per hour,farming,0.0,1.0,float
hunger_rate,0.5,Hunger depletion per in-game hour,system,0.0,5.0,float
thirst_rate,0.8,Thirst depletion per in-game hour,system,0.0,5.0,float
stamina_regen,2.0,Stamina regeneration per second while resting,system,0.1,10.0,float
trade_price_variance,0.15,Random price variance for NPC trades (fraction),economy,0.0,0.5,float
gravity_m_s2,9.81,Gravitational acceleration,physics,0.0,50.0,float
terminal_velocity,55.0,Maximum fall speed in m/s,physics,10.0,200.0,float
